Counter,Characteristic Value,Counter
1,N/A_CATEGORY_MGMT,
2,D&ET_PROF_SERV_DSTRM_MARK_SALE,
3,TRANSPORTATION_LOGISTICS,
4,EQUIPMENT_MATERIAL_CHEMICALS,
5,MINING_DRILLING_TAILINGS,
6,MAINT_ENG_CONST_SERVICES,
7,CABLE_WIRE,59
8,COMPONENTS_FITTING_ACCESS,59
9,E_HOUSES,59
10,ELECTRIC_MOTORS,59
11,ELECTRIC_UNCLASSIFIED,59
12,LIGHTING,59
13,MOTOR_CONTROL_CENTRES,59
14,NON_MECH_ELECTRIC_GENERATOR,59
15,POWER_CONDITION_EQUIP,59
16,RELAYS,59
17,SWITCHGEAR,59
18,TRANSFORMERS,59
19,UNINTERRUPTIBLE_POWER_SUPPLY,59
20,VARIABLE_FREQUENCY_DRIVES,59
21,ACTUATED_VALVES,60
22,ADVANCED_CONTROLS,60
23,AUTOMATED_CONTROLS,60
24,FIRE_ALARM_EQUIP_SYSTEM_MTCE,60
25,INSTRUMENTATION_UNCLASSIFIED,60
26,INSTRUMENTS,60
27,NETWORK_INFRASTRUCTURES,60
28,PRESSURE_RELIEVING_DEVICES,60
29,BARGES_NEW_PARTS,69
30,BARGES_REPAIRS,69
31,CATWALKS,69
32,DREDGES_NEW_PARTS,69
33,DREDGES_REPAIRS,69
34,MOORING_ANCHORING,69
35,SUPPORT_BOATS,69
36,WHARFS_DOCKS,69
37,TAILINGS_UNCLASSIFIED,69
38,MARINE_ASSETS,69
39,AIR_COMPRESSOR_PARTS,61
40,CENTRIFUGES,61
41,CONVEYORS_PARTS,61
42,DIESEL_NAT_GAS_ENGINES,61
43,GAS_COMPRESSORS_PARTS,61
44,GEARBOX,61
45,MISC_ROTATING_MACHINERY,61
46,PUMPS_PARTS_ACCESS_API,61
47,TURBINES_ST_GT,61
48,WIND_TURBINES,61
49,ROTATING_MACHINERY_UNCLASSFIED,61
50,SLURRY_SUBMERSIBLE_PUMPS_PARTS,61
51,PUMPS_PARTS_ACCESS_OTHER,61
52,ENVIRONMENTAL_EQUIPMENT,62
53,HEAT_EXCHANGERS,62
54,HVAC_SYSTEMS,62
55,PRESSURE_VESSELS,62
56,TANKS,62
57,BOILERS_FURNACES,62
58,STATIC_EQUIPMENT_UNCLASSFIED,62
59,ELECTRICAL,4
60,INSTRUMENTATION_CONTROLS,4
61,ROTATING_MACHINERY,4
62,STATIC_EQUIPMENT,4
63,CHEM_GAS_FLUIDS,4
64,MATERIALS,4
65,MATERIALS_CONSUMABLE,4
66,MATERIALS_STEEL_PVF,4
67,CIVIL_WORKS,5
68,MINE_EQUIPMENT_SERVICES,5
69,ONPOND_ASSETS,5
70,DRILLING_COMPLETION,5
71,BUILDING_CONTRACTORS,96
72,CONSTRUCTION_SUPPORT_SERVICES,96
73,STRUCTURAL_STEEL_PRODUCTS,96
74,CIVIL_CONST_DIRT_PAVE_CONCRETE,96
75,ABANDONMENT_RECLAMATION_SERV,96
76,GENERAL_MECHANICAL_CONST,96
77,STEEL_FABRICATION_INSTALLATION,96
78,PIPE_FABRICATION_INSTALLATION,96
79,HIGH_VOLT_ELEC_TRANS_DISTRIBUT,97
80,LICENSOR,97
81,ENGINEERING_PROCUREMENT_SERV,97
82,ENVIRO_REGULATORY_ENGINEER_SER,97
83,GEOTECH_SURVEYING_MAPPING,97
84,MISC_SUPPORT_SERVICES_STUDIES,97
85,NPA_ARCHITECT_BUILDING_DESIGN,97
86,ELECTRICAL_INSTRUMENT_AUTO_TEL,97
87,PROJECT_SERVICES,103
88,RENEWABLES_,103
89,MARINE_SUBSEA,104
90,OFFSHORE_FACILITIES,105
91,OFFSHORE_LOGISTICS,105
92,OFFSHORE_SUPPORT_SERVICES,105
93,OFFSHORE_UNCLASSIFIED,105
94,OFFSHORE_WELLS,105
95,OFFSHORE_RESEVOIRS,105
96,CONSTRUCTION_SERVICES,6
97,ENGINEERING_SERVICES,6
98,MAINTENANCE_SERVICES,6
99,SUPPORT_SERVICES,6
100,UNCLASSIFIED,1
101,UTILITIES,1
102,N/A_CATEGORY,1
103,PROJECTS,1
104,OFFSHORE_EQUIPMENT,1
105,OFFSHORE_SERVICES,1
106,INFO_SERVICES_UNCLASSIFIED,2
107,IT_APP_INFRASTRUCTURE_SERV,2
108,PROFESSIONAL_SERVICES,2
109,SOFTWARE,2
110,DIGITAL_PROJECTS,2
111,SALES_MARKETING,2
112,NETWORK_AND_TELECOM,2
113,IT_HARDWARE_SOFTWARE_RESELLERS,2
114,BOILERS_MAINTENANCE,98
115,GENERAL_LABOUR,98
116,HEAT_EXCHANGER_CONTRACTORS,98
117,MACHINE_SHOP,98
118,MTCE_UNCLASSIFIED,98
119,OTHER_SPECIALTY_SERVICES,98
120,WATER_MANAGEMENT,98
121,WELD_OVERLAY,98
122,GENERAL_MAINTENANCE,98
123,HEAT_TREATMENT_SERVICES,98
124,PIPELINE_MAINTENANCE,98
125,REFRACTORY_SERVICES,98
126,TANK_MAINTENANCE_CONSTRUCTION,98
127,BIRD_DETERRENT,99
128,CEMENT_DELIVERY,99
129,CRANES,99
130,ELEC_INSTRUMENT_CONTRACTORS,99
131,EXTERNAL_LAB_SERVICES,99
132,GENERAL_RENTAL_EQUIPMENT,99
133,INDUSTRIAL_CLEANING,99
134,INDUSTRIAL_VEHICLES,99
135,INSULATION_SERVICES,99
136,ROAD_SAFETY_SERVICES,99
137,SCAFFOLD_MAT_SERVICES,99
138,SUPPORT_UNCLASSIFIED,99
139,TESTING_INSPECTIONS,99
140,VEGETATION_MGMT,99
141,WASTE_MGMT_DISPOSAL,99
142,WATER_TRANSPORTERS,99
143,WATER_TRUCKS_RENTAL,99
144,DREDGING_DEWATERING,99
145,EHS_RENT_SAFETY_PARAMEDIC_SERV,99
146,LIFTS_ELEVATORS,99
147,PAINTING_SANDBLASTING,99
148,SPILL_FIRE_CONTROL_RESPONSE,99
149,CATALYSTS,63
150,CHEMICAL_UNCLASSIFIED,63
151,COMMODITY_CHEMICALS,63
152,FUEL_ADDITIVES,63
153,FUELS_LUBRICANTS,63
154,INDUSTRIAL_GASES,63
155,LUBRICANT_ADDITIVES,63
156,WATER_TREATMENT_SERVICES,63
157,SPECIALTY_CHEMICALS,63
158,MATERIALS_UNCLASSIFIED,64
159,ADHESIVES_SEALANTS,65
160,AIR_HAND_MACHINE_TOOLS,65
161,FILTERS,65
162,FIRE_PROTECTION,65
